mel_Y	mel_other	mau_Y	mau_other	sim_Y	sim_other	sec_Y	sec_other
23844	61221	0	0	0	0	0	0
0	2182	0	108631	0	86216	0	0
0	0	0	0	2055	0	0	9557
0	44154	4405	11465	0	21132	0	21314
0	104023	6126	199113	0	126414	0	165599
0	0	0	1567	0	0	0	6034
0	4883	0	25312	0	18976	3697	26706
0	293	0	2428	0	0	0	2334
0	3208	0	0	0	0	0	2271
0	100301	4295	44569	1345	103660	0	55554
0	955	0	3037	2185	5385	0	14366
0	6535	0	5452	0	4650	3747	5604
0	0	0	2775	1013	1013	0	0
0	512	0	12904	0	7998	1125	4700
0	4967	3007	750	0	2968	0	1658
0	137	0	0	0	2738	0	1093
0	0	0	1428	0	2092	0	0
2236	34061	2587	9522	0	7942	2067	8453
3359	55514	1728	10415	3945	8640	0	6832
0	0	0	1425	0	0	0	1449
0	9841	0	3424	2518	4224	0	3898
0	633	0	1383	0	0	0	1251
0	35867	1091	15774	0	21310	0	18217
0	0	0	998	0	1497	0	0
0	1969	64	0	0	1251	0	1196
996	39732	1840	25573	383	19492	0	29540
0	0	0	0	0	0	0	1034
0	1280	0	3129	920	750	0	940
0	9525	512	9638	0	7721	1929	6287
0	1260	0	3150	152	1275	3504	2290
0	810	3137	0	0	0	0	933
0	289	0	0	0	927	0	0
1163	338	324	28	0	928	907	28
0	0	0	0	0	1250	0	527
0	2559	0	0	0	932	0	655
0	0	0	781	0	0	0	0
0	0	0	0	0	0	0	746
221	42	0	2534	819	2059	0	2648
144	16426	805	11972	0	11391	800	12415
0	5343	735	4579	555	6109	0	6448
0	1185	0	0	0	676	0	0
6924	5489	433	5742	0	9116	0	9318
67	54276	1067	53814	0	55876	297	52873
377	12969	693	9081	703	8070	0	8418
292	117860	0	671889	0	1349252	373	582940
0	1194	0	1474	204	392	1067	1029
0	5350	562	3359	0	4193	0	4455
0	1378	0	4155	0	1747	723	2769
0	0	0	0	0	0	0	579
0	10423	624	3803	0	3495	0	4724
0	71	0	599	0	535	0	0
0	0	0	2860	876	2289	626	4190
136	15622	985	6104	0	3599	0	4492
1314	21204	1224	9922	0	1993	0	9667
0	0	0	679	0	439	0	0
0	148320	556	158058	0	159345	0	152737
2553	2067	0	0	0	543	0	0
0	1210	0	47	0	1404	0	0
0	109	0	0	0	321	0	788
0	506	0	318	0	782	0	0
0	152	0	0	0	0	0	499
0	209	0	501	0	491	0	0
0	0	0	0	0	241	0	841
0	43	0	291	516	0	0	711
0	69	0	0	0	476	0	0
0	0	0	791	0	234	0	0
0	0	0	0	0	0	0	471
0	6464	0	7111	0	6029	401	5322
0	1059	586	2688	0	2099	1631	4591
1861	57801	562	1619	0	2239	0	1373
0	89	0	0	0	455	0	0
30	0	58	142	0	765	0	0
0	379	0	0	0	452	0	0
0	1833	0	722	296	359	0	1322
0	126	158	299	0	706	0	0
0	666	282	287	0	913	0	872
0	650	0	439	0	0	0	0
0	25831	537	20281	0	18922	0	14746
0	0	0	2841282	0	3940382	606	4724329
0	75128	0	30224	0	26056	238	15715
0	0	0	418	0	0	0	0
0	2998	0	2104	0	2453	592	2642
567	1731	426	2392	0	2223	0	3265
0	457	0	1423	0	2225	432	1473
0	838	0	518	0	296	0	0
0	331	0	629	0	0	0	200
0	56	0	0	0	413	0	353
0	0	0	437	0	325	0	0
0	302	0	376	0	0	0	0
0	0	0	0	0	369	0	0
0	0	0	358	0	0	0	0
411	667	0	673	407	812	1390	502
0	12693	0	106	0	0	0	705
0	0	0	198	0	511	0	0
0	92660	332	91185	0	123908	0	64453
704	425	0	430	226	100	0	530
0	0	0	0	0	323	0	0
0	0	0	318	0	319	0	0
0	5186	427	2136	0	4256	0	382
0	37	0	0	0	0	0	313
0	0	0	0	0	0	0	311
0	280	0	114	0	0	0	581
0	0	0	0	0	307	0	0
575	10718	750	11966	0	11328	76	12623
0	0	0	302	0	0	0	0
0	0	0	0	0	0	0	300
0	185	0	0	0	294	0	0
0	298	1163	637	0	426	1157	435
0	1134	260	666	0	740	0	1379
0	15180	0	2505	0	2421	758	5749
0	0	0	569	118	0	0	85
0	719	0	425	0	156	0	0
0	0	0	0	0	272	0	0
0	2503	587	2547	236	2902	0	2097
0	14971	140	8311	420	8950	0	8952
196	0	0	55	0	0	0	566
2341	177	0	317	850	244	0	342
0	1040	2810	2170	465	880	0	557
0	0	0	0	0	0	0	249
0	4946	1978	66	759	140	0	267
0	167	574	1781	0	425	519	0
0	96	0	0	0	239	0	0
0	0	240	0	0	0	0	237
0	1104	0	0	0	357	0	139
0	13702	0	275	0	284	1044	188
0	0	0	13779	0	30945	0	90
0	50	0	0	0	100	0	419
0	5672	395	4900	416	966	0	1350
0	176	0	0	0	36	0	524
0	7016	0	5270	291	5022	163	4747
0	1878	0	0	0	141	0	326
0	62	0	225	0	225	0	0
0	1552	0	1194	357	1765	0	1399
0	484	0	148	0	470	696	233
0	8754	0	2606	0	3456	288	3718
0	65	0	357	0	0	0	96
0	0	0	60	0	0	0	418
0	463	1550	1201	0	457	1549	2773
0	659	596	302	0	289	1085	320
0	571	0	175	0	237	0	0
0	3070	0	4669	0	4534	124	2716
0	0	0	0	0	202	0	194
0	3130	118	3103	0	2617	353	2459
0	59	0	0	0	138	0	257
0	3793	0	2920	0	5539	104	2136
0	0	0	0	0	0	0	190
0	164	0	0	0	189	0	0
0	106	0	0	0	345	0	72
0	2554	487	3927	0	3659	48	4548
0	0	0	0	0	186	0	0
0	0	0	113	0	0	0	260
0	227	0	0	0	179	0	179
0	86	0	0	0	178	0	0
0	0	0	162	0	189	0	0
0	141	0	174	0	0	0	0
0	43	0	211	0	0	0	140
0	330	0	118	0	236	0	0
57	55	0	643	0	414	298	608
0	43	0	0	0	0	0	170
0	0	45	98	0	0	0	270
0	2617	148	1532	0	2030	0	1774
0	0	0	167	0	0	0	0
0	705	0	167	0	0	0	0
0	98	0	0	0	269	0	84
0	0	0	0	0	0	0	166
0	0	0	282	0	74	0	0
0	0	289	511	0	378	0	530
0	151429	175	89088	0	97170	0	69346
0	0	0	162	0	0	0	0
0	67	133	56	0	239	441	239
0	187	0	172	0	0	0	146
0	0	0	0	0	80	0	248
0	136	0	0	0	0	0	155
0	0	0	29	0	328	0	0
0	105	0	0	0	154	0	0
0	0	0	0	0	0	0	151
0	50	0	0	0	0	0	151
0	0	0	0	0	145	0	0
0	36	0	0	0	181	0	109
0	507	284	1605	0	738	0	1167
0	0	765	290	0	385	6315	62113
38	0	0	0	0	98	0	182
0	40	0	0	0	137	0	0
0	257	0	65	0	460	90	65
0	354	0	382	306	404	0	252
175	160	0	0	0	0	0	133
0	48	0	0	0	133	0	0
0	558142	0	249327	0	123913	155	213465
0	0	0	132	0	0	0	0
0	2050	509	778	81	81	0	294
0	0	0	0	0	0	0	131
0	106	0	119	0	0	0	140
0	223	0	0	0	172	0	89
0	50	1921	0	0	126	130	0
50	182	0	210	0	58	0	0
0	1343	223	3591	0	3247	0	1240
0	134	0	125	0	0	0	0
0	0	448	87	0	176	0	123
0	0	0	124	0	0	0	0
0	0	0	163	0	89	0	0
105	11790	122	11806	0	12268	0	11621
0	72	0	122	0	0	0	0
0	0	0	0	0	121	0	0
0	0	0	121	0	0	0	0
0	9751	0	8019	123	8606	0	8940
0	977	68	867	0	1325	0	1962
0	393	3584	0	0	134	167	49
0	3576	0	1016	0	773	203	1337
0	1215	0	0	0	0	0	117
0	1234	356	1528	0	297	0	1009
0	91	0	116	0	0	0	0
0	680	0	0	0	0	0	116
0	0	0	0	0	140	0	87
0	0	0	110	0	0	0	0
0	452	0	0	0	110	0	0
0	0	0	0	0	0	0	110
0	0	0	0	0	107	0	0
0	1415	0	0	0	106	0	0
0	53	0	106	0	0	0	0
0	0	0	106	0	0	0	0
0	604	0	700	0	694	198	1109
0	151	0	157	305	150	0	157
0	0	0	0	0	0	0	105
88	193	529	26	0	112	0	108
0	0	0	184	0	0	0	41
0	5589	0	3934	0	51	0	7199
0	111	0	0	0	0	0	104
0	7777	0	10354	0	8619	116	10518
0	0	0	102	0	0	0	0
3234	54985	125	12698	0	15747	58	15758
0	0	0	102	0	101	0	0
0	97	0	100	0	0	0	0
0	0	0	0	0	0	0	99
0	0	0	209	182	209	0	216
0	0	0	0	0	98	0	0
0	610	0	0	0	67	0	132
0	0	0	97	0	0	0	0
0	0	0	0	0	97	0	0
0	8672	0	139	0	59	0	0
48	64	0	130	0	64	0	0
0	50	0	50	0	0	0	148
0	1322	0	146	0	0	0	51
0	0	0	40	0	161	0	0
0	53	0	0	0	69	0	122
0	0	0	0	0	94	0	0
0	166	0	66	0	124	0	0
0	92	0	0	0	92	0	0
129	106	0	64	155	0	0	121
0	68	0	91	0	0	0	91
0	93	0	0	0	91	0	91
0	132	351	950	0	492	0	204
0	0	0	131	0	0	0	55
0	69	0	90	0	0	0	0
0	0	0	0	0	0	0	89
0	0	0	0	0	89	0	89
0	0	0	0	0	89	0	0
0	0	0	89	0	0	0	0
0	0	0	0	0	74	0	104
0	5474	0	49	0	0	0	131
0	49	74	44	0	120	0	155
0	0	0	0	0	0	0	86
0	0	0	0	0	0	0	86
0	0	0	96	0	74	0	0
0	174	0	0	0	84	0	84
0	196	530	0	1378	139672	2346	1159
0	37	0	0	0	0	0	83
0	0	0	0	0	83	0	83
0	0	0	73	0	93	0	0
0	0	0	0	0	81	0	0
0	0	0	0	0	0	0	81
0	0	0	0	0	79	0	0
199	2632	76	3708	0	3661	0	4158
0	52	0	53	0	106	0	0
0	94	0	74	0	0	0	82
0	13031	87	14320	87	14475	0	12912
0	0	0	0	0	0	0	77
0	78	0	0	0	0	0	77
0	0	0	0	0	0	0	77
0	54	0	0	0	88	0	66
0	993	732	85	0	85	0	85
0	0	0	76	0	0	0	0
0	0	0	76	0	0	0	0
0	56	0	0	0	0	0	76
0	2914	0	2151	85	2009	0	1602
0	53	0	0	0	107	0	48
0	66	0	0	0	75	0	0
0	0	0	0	0	75	0	0
0	0	0	0	0	77	0	73
408	1665	0	1444	122	2458	75	1265
0	0	0	0	0	95	0	55
0	0	0	60	0	0	0	87
0	87767	0	73	0	0	0	0
0	241	0	0	0	73	0	0
0	169	0	62	0	0	0	84
0	0	0	49	0	0	0	99
0	249	0	37	0	0	0	114
0	0	0	72	0	0	0	0
0	0	0	101	0	46	0	0
0	0	0	0	0	70	0	71
0	60	0	0	0	55	0	87
0	0	0	70	0	0	0	0
55	0	0	0	0	70	0	0
0	0	0	70	0	0	0	0
0	0	0	87	0	0	0	52
0	51	0	54	0	0	0	83
0	0	0	68	0	0	0	68
0	0	0	0	0	68	0	0
0	0	0	0	0	0	0	68
0	67	0	0	0	0	0	68
0	0	0	0	0	79	0	57
0	0	0	44	0	0	0	94
0	1969	99	2884	0	1346	166	2213
0	0	1514	0	2604	174983	1240	0
0	47	0	67	0	0	0	0
0	0	0	66	0	0	0	0
0	91	0	66	0	0	0	0
0	0	0	66	0	0	0	0
0	44	0	66	0	0	0	0
0	0	0	0	0	0	0	66
0	0	0	0	0	0	0	66
0	0	0	0	0	66	0	0
0	0	0	0	0	52	0	80
0	58	0	0	0	63	0	68
0	145	0	225	0	84	102	132
0	0	0	0	0	0	0	65
0	0	0	65	0	65	0	0
0	5778	101	6738	0	5838	0	3117
0	0	0	45	0	0	0	85
0	45	0	0	0	85	0	45
0	104	0	0	0	0	0	64
0	0	0	64	0	0	0	64
0	0	0	0	0	63	0	0
0	98	0	63	0	0	0	0
0	0	0	60	0	66	0	0
0	62	0	0	0	62	0	62
0	0	0	62	0	0	0	0
0	0	0	0	0	0	0	62
0	0	0	0	0	0	0	62
0	0	0	62	0	0	0	0
0	0	0	0	0	62	0	0
0	0	0	0	0	0	0	61
0	0	0	61	0	0	0	0
0	0	0	63	0	59	0	0
0	0	0	0	0	61	0	60
0	51	0	60	0	0	0	0
0	0	0	0	0	0	0	60
0	0	0	0	0	60	0	0
0	0	0	60	0	0	0	0
0	0	0	0	0	60	0	60
0	52	0	59	0	0	0	0
0	0	0	0	0	59	0	0
0	53	0	59	0	0	0	0
0	0	0	0	0	59	0	0
0	110	0	46	0	71	0	0
0	0	0	58	0	0	0	58
1826	0	0	58	1606	0	0	0
0	223	0	0	0	58	0	0
0	0	245	0	0	0	0	58
0	0	0	0	0	58	0	0
0	85	0	0	0	58	0	0
0	0	0	58	0	58	0	0
0	0	0	74	0	0	0	42
0	70	0	0	0	57	0	57
0	57	0	57	0	0	0	0
0	146	0	0	0	57	0	0
0	0	0	0	0	0	0	57
0	0	0	0	0	57	0	0
0	0	0	0	0	0	0	57
0	0	0	0	0	57	0	57
0	55	0	56	0	0	0	0
0	197	0	0	0	0	0	56
0	0	0	0	0	0	0	56
0	0	0	58	0	54	0	0
0	178	32	265	64	682	0	573
928	2660	0	0	0	103	351	3982
0	0	0	55	0	0	0	55
0	2612	1780	0	0	0	0	55
0	0	0	55	0	55	0	0
0	0	0	0	0	0	0	55
0	0	0	0	0	0	0	55
34	10025	50	8887	51	6588	0	8289
0	5149	0	318	49	991	509	1095
0	0	0	48	0	61	0	0
0	59	0	54	0	0	0	0
0	0	0	54	0	0	0	0
0	0	0	0	0	0	0	54
0	0	0	0	0	0	0	53
0	62	0	0	0	53	0	0
0	0	0	0	0	0	0	53
0	0	0	0	0	0	0	53
0	97	39	40	0	71	39	0
0	21509	0	15715	41	16743	0	27239
0	0	0	0	0	52	0	0
0	78	0	0	0	52	0	0
0	52	0	0	0	52	0	52
0	0	0	66	0	38	0	0
0	43	0	0	0	0	0	51
0	0	0	0	0	0	0	51
0	0	0	0	0	0	0	51
0	0	0	0	0	0	0	51
0	0	0	0	0	0	0	51
0	77	0	0	0	55	0	47
0	0	0	50	0	0	0	50
0	38	0	0	0	0	0	49
0	0	0	49	0	49	0	0
0	102	0	48	0	0	0	0
0	48	0	48	0	48	0	0
0	0	0	0	0	48	0	0
0	0	0	0	0	0	0	48
0	228	72	1271	0	116	0	1585
0	83	0	0	0	47	0	47
0	0	0	0	0	0	0	47
0	90	0	0	0	47	0	0
0	66	0	0	0	0	0	47
0	73	0	42	0	0	0	52
0	217	0	44	0	0	0	49
0	0	0	0	0	46	0	0
0	0	0	46	0	46	0	0
0	54	0	0	0	0	0	46
0	46	0	0	0	46	0	46
141	0	0	96	770	77558	385	433
0	34	0	68	0	34	329	34
0	0	0	0	0	0	0	45
0	170	0	0	0	45	0	0
0	0	0	45	0	0	0	0
212	258	0	42	0	0	0	48
0	54	0	45	0	44	0	0
0	0	0	44	0	0	0	0
0	0	0	0	0	0	0	44
0	0	0	0	0	44	0	0
0	0	0	44	0	0	0	0
0	47	0	41	0	46	0	0
0	0	0	32	0	55	0	0
0	134	0	0	0	0	0	43
0	108	0	0	0	43	0	0
0	0	0	43	0	0	0	0
0	0	0	0	0	0	0	42
0	0	0	0	0	0	0	42
0	0	0	42	0	0	0	0
0	0	0	0	0	0	0	41
0	0	0	40	0	0	0	40
0	1496	0	775	0	715	64	1131
0	185	169	77	0	0	0	47
0	0	0	51	0	0	0	28
0	0	0	39	0	39	0	0
0	0	0	39	0	0	0	0
0	283	0	42	401	40	5468	302
0	550	0	38	0	0	0	0
0	0	0	38	0	0	0	38
0	0	0	37	0	37	0	0
0	0	0	0	0	36	0	0
0	0	0	0	0	0	0	35
0	0	0	0	0	0	0	35
0	0	0	0	0	35	40	0
0	0	0	0	0	35	0	0
0	0	0	0	0	0	0	32
0	206	0	0	0	0	0	32
120	102	0	0	0	31	0	0
0	0	0	0	0	42	1055	1102
0	104	88	42	0	42	88	4150
859	37627	0	30	0	0	0	29
0	82	0	0	109	49	0	34
0	401	465	0	722	0	0	28
0	31	0	31	167	31	0	31
0	769	0	0	0	0	0	26
0	13175	234	7213	75	7827	5253	9150
31	89	31	70	0	75	39	102
0	926	0	86	0	86	0	1956
0	179	0	40	0	40	0	877
0	115	0	1174	0	57	0	57
0	164	2932	1181	19	680	555	996
0	63	0	953	0	62	0	1155
0	299	0	35	0	890	0	164
0	993	0	58	0	941	0	58
0	6704	0	41215	0	130983	0	963689
0	338	0	1848	0	869	0	89
0	161	0	129	0	203	0	2329
0	215	0	1561	0	993	0	89
0	2999	0	47	0	667	0	685
0	187	99	1977	112	217	0	55
0	907	0	5143	0	368	0	393
0	4384	0	98	0	852	0	1743
0	1099	283	6957	1305	4738	62	5543
970	0	0	86	0	1532	0	673
0	38866	0	10258	0	4495	13	8272
0	310	0	49	0	364	0	846
213	512	0	1096	0	67	0	227
0	0	0	86	0	540	0	1312
0	0	0	0	328	262	364	4271
0	569534	1687	163485	488	594570	592	98189
0	1827	0	1466	0	139	0	1279
0	5324	0	8082	0	4157	0	639
131	1513	134	338	79	597	67	2872
264	137	985	261	415	261	40	485
0	0	0	383	0	31	0	70
0	147	0	2189	0	185	0	566
0	138	0	44	0	452	0	295
0	23974	4713	14081	405	18148	2227	21148
0	0	0	1745	0	207	0	1678
0	0	0	38	0	92	0	418
0	40	0	317	0	33	0	182
0	665	1307	1783	328	3091	4678	374
0	0	7710	26160	369	7710	1274	1734
0	512	2380	1933	95	1203	3072	2931
0	0	0	55	0	391	0	403
152	3306	0	2527	0	5678	0	631
0	1183	0	68	0	527	0	408
0	232	0	2888	0	2990	0	443
0	0	0	530	0	168	0	60
0	466	0	190	0	645	0	80
0	38	0	38	0	312	0	104
0	1602	0	313	0	39	0	89
2059	4828	1852	1053	1881	1443	250	2249
0	73	0	407	0	284	0	58
0	55	0	1212	0	1841	0	272
